อันดับ,รายชื่อ,ราคาสินค้า
1,Acer Nitro V 15 ANV15-51-574G,"28,990.-"
2,Asus TUF Gaming F16 FX608JM-RV008W,"44,990.-"
3,Gigabyte GAMING A16-CMHI2TH894SH,"32,990.-"
4,Gigabyte GAMING A16-CMHI2TH894SH,"28,490.-"
5,Lenovo IdeaPad Slim 3 14IRH10-83K0000FTA,"17,990.-"
6,Gigabyte AERO X16-1VH93THC94AH,"47,990.-"
7,Acer Nitro Lite 16 NL16-71G-50BY,"27,990.-"
8,Asus Vivobook S16 S3607VA-RP574WA,"19,990.-"
9,HP Victus 16-s1118AX,"40,990.-"
10,Lenovo LOQ 15IRX9-83DV00LFTA,"34,990.-"
11,Gigabyte AERO X16-1WH93THC94DH,"53,990.-"
12,Acer Nitro V15 ANV15-41-R488,"24,990.-"
13,Lenovo LOQ 15ARP9-83JC003PTA,"34,990.-"
14,Gigabyte AERO X16-2WHA3THC64AH,"59,990.-"
15,MSI Crosshair 16 HX AI D2XWFKG-026TH,"56,990.-"
16,MSI Katana A17 AI B8VF-841TH,"37,990.-"
17,Lenovo LOQ 15IRX9-83DV00LETA,"32,990.-"
18,MSI Crosshair 16 HX AI D2XWFKG-027TH,"54,990.-"
19,Lenovo Legion 5 15IRX9-83JJ000CTA,"42,990.-"
20,Acer Aspire Lite 15 AL15-41P-R47V,"14,990.-"
21,Asus V16 V3607VU-RP745W,"33,990.-"
22,MSI Vector 16 HX AI A2XWHG-425TH,"65,990.-"
23,Asus TUF Gaming F16 FX607VU-RV058W,"33,990.-"
24,HP Victus 16-r1274TX,"44,490.-"
25,Lenovo IdeaPad Slim 3 15IRH10-83K100D8TA,"21,990.-"
26,Gigabyte G6 KF-73TH893KH,"33,990.-"
27,HP Victus 16-r0356TX,"35,990.-"
28,Asus TUF Gaming A16 FA608UM-QT027W,"49,990.-"
29,Lenovo LOQ 15IAX9E-83LK002MTA,"19,990.-"
30,Acer Nitro V 16 ANV16-41-R724,"29,990.-"
31,Lenovo LOQ 15IAX9E-83LK002LTA,"28,490.-"
32,MSI Vector 16 HX AI A2XWHG-253TH,"62,990.-"
33,Asus V16 V3607VU-RP596W,"31,990.-"
34,Lenovo LOQ 15ARP9-83JC003NTA,"31,990.-"
35,Acer Nitro V 15 ANV15-51-56QE,"32,990.-"
36,Acer Nitro V 15 ANV15-51-50UV,"27,990.-"
37,Asus TUF Gaming A15 FA507NVR-LP037W,"35,990.-"
38,Asus Vivobook 15 OLED X1505VA-OLED529WA,"22,990.-"
39,Asus Vivobook S14 S3407CA-LY729WA,"31,990.-"
40,Lenovo LOQ 15IRX9-83DV00LDTA,"26,990.-"
41,Lenovo LOQ 15IAX9-83GS00CQTA,"24,990.-"
42,MSI Stealth A16 AI A2HWFG-050TH,"72,990.-"
43,Acer Nitro V 15 ANV15-51-5857,"36,990.-"
44,Acer Aspire Lite 16 AL16-52P-51Y1,"15,990.-"
45,Acer Predator Helios Neo 16 PHN16-72-55NZ,"37,990.-"
46,HP Victus 16-r0357TX,"31,990.-"
47,MSI Stealth A16 AI+ A3XWHG-058TH,"105,990.-"
48,MSI Raider 18 HX AI A2XWJG-434TH,"199,990.-"
49,Asus TUF Gaming A15 FA507NUR-LP037W,"35,990.-"
50,Asus TUF Gaming A16 FA608UP-QT016W,"56,990.-"
51,MSI Crosshair 16 HX AI D2XWGKG-022TH,"62,990.-"
52,HP Victus 15-fb2105AX,"20,990.-"
53,Lenovo IdeaPad Slim 5 15ARP10-83J3000HTA,"25,990.-"
54,Infinix GT Book GL613-i5-12450H 16+6GB+512GB,"22,990.-"
55,Asus TUF Gaming A16 Advantage Edition FA617NSR-N3016W,"32,990.-"
56,MSI Thin 15 B12UCX-1428TH,"17,990.-"
57,MSI Thin 15 B12UC-1887TH,"22,990.-"
58,MSI Thin 15 B12VE-1424TH,"23,990.-"
59,MSI Vector 17 HX AI A2XWHG-091TH,"79,990.-"
60,Asus ROG Strix G16 G614PR-RV003W,"79,990.-"
61,DELL G15 5530-OGN553550501GTH,"40,990.-"
62,MSI Vector 18 HX AI A2XWJG-660TH,"145,990.-"
63,Gigabyte G6 KF-H3TH853KH,"34,990.-"
64,HP Victus 15-fb2094AX,"28,990.-"
65,MSI Vector 16 HX AI A2XWIG-078TH,"84,990.-"
66,HP Victus 15-fa2713TX,"23,990.-"
67,MSI Thin 15 B13UCX-1610TH,"19,990.-"
68,HP Victus 15-fb2022AX,"35,990.-"
69,Asus TUF Gaming A15 FA507NU-LP031W,"33,990.-"
70,Acer Nitro V 16 ANV16-41-R8LA,"33,990.-"
71,Acer Nitro Lite 16 NL16-71G-57U5,"24,990.-"
72,MSI Raider 18 HX AI A2XWIG-645TH,"159,990.-"
73,MSI Thin 15 B13VE-1608TH,"27,990.-"
74,MSI Titan 18 HX Dragon Edition Norse Myth A2XWJG-286TH,"245,990.-"
75,HP Victus 15-fb2023AX,"32,990.-"
76,MSI Thin 15 B13UC-1609TH,"22,990.-"
77,MSI Thin 15 B13UC-2415TH,"27,490.-"
78,MSI Cyborg 15 A13VFK-873TH,"34,990.-"
79,HP Victus 15-fb2098AX,"25,990.-"
80,MSI Katana 17 B13VEK-1256TH,"34,990.-"
81,Asus TUF Gaming F16 FX607JV-N3199W,"48,990.-"
82,MSI Thin 15 B13UCX-2417TH,"19,990.-"
83,Acer Aspire 15 A15-41M-R3DU,"19,990.-"
84,Asus Vivobook 15 X1502VA-NJ544WA,"18,990.-"
85,MSI Vector 18 HX AI A2XWHG-662TH,"94,990.-"
86,Asus Vivobook 16X V3605VC-RP515W,"24,990.-"
87,Acer Nitro V 15 ANV15-51-55NS,"24,990.-"
88,HP 15-fc0290AU,"17,990.-"
89,Acer Aspire Lite 15 AL15-71P-50RL,"16,990.-"
90,Lenovo LOQ 15ARP9-83JC003QTA,"23,990.-"
91,Acer Nitro V 15 ANV15-51-578S,"20,990.-"
92,Asus TUF Gaming A15 FA506NCR-HN007W,"29,990.-"
93,MSI Thin A15 B7VF-044TH,"33,990.-"
94,Asus Vivobook S16 D3607HA-RP788WA,"26,990.-"
95,Asus ROG Strix G16 G614JVR-N3211W,"59,990.-"
96,Asus ZenBook 14 OLED UX3405CA-PZ583WA,"39,990.-"
97,HP ProBook  255 G10-B4AL8AT#AKL,"12,590.-"
98,MSI Prestige 16 AI Studio B1VFG-028TH,"57,990.-"
99,Asus Vivobook S16 S3607CA-RP719WA,"32,990.-"
100,Acer Aspire Lite 16  AL16-71M-54E6,"20,990.-"
